Time (s);Identifier;Duration
1.0390625000e+000;32769;0.0000000000e+000
1.0390625000e+000;32777;0.0000000000e+000
2.0507812500e+000;33286;0.0000000000e+000
3.5156250000e+000;33285;0.0000000000e+000
4.1992187500e+000;33286;0.0000000000e+000
6.0000000000e+000;32778;0.0000000000e+000
6.0000000000e+000;32773;0.0000000000e+000
6.0000000000e+000;32771;0.0000000000e+000
6.0000000000e+000;33031;0.0000000000e+000
6.0000000000e+000;32779;0.0000000000e+000
5.1757812500e+000;33285;0.0000000000e+000
6.3476562500e+000;33286;0.0000000000e+000
7.9101562500e+000;33285;0.0000000000e+000
9.2773437500e+000;33286;0.0000000000e+000
9.3750000000e+000;33285;0.0000000000e+000
1.0449218750e+001;33286;0.0000000000e+000
1.1035156250e+001;33285;0.0000000000e+000
1.1132812500e+001;33286;0.0000000000e+000
1.1718750000e+001;33285;0.0000000000e+000
1.2597656250e+001;33286;0.0000000000e+000
1.5820312500e+001;33285;0.0000000000e+000
1.8261718750e+001;33286;0.0000000000e+000
1.9042968750e+001;33285;0.0000000000e+000
1.9531250000e+001;33286;0.0000000000e+000
2.0410156250e+001;33285;0.0000000000e+000
2.0605468750e+001;33286;0.0000000000e+000
2.4218750000e+001;33285;0.0000000000e+000
2.4511718750e+001;33286;0.0000000000e+000
3.1152343750e+001;33285;0.0000000000e+000
3.1445312500e+001;33286;0.0000000000e+000
3.2421875000e+001;33285;0.0000000000e+000
3.2910156250e+001;33286;0.0000000000e+000
3.3300781250e+001;33285;0.0000000000e+000
3.3886718750e+001;33286;0.0000000000e+000
3.6000000000e+001;32780;0.0000000000e+000
3.6132812500e+001;33285;0.0000000000e+000
3.7011718750e+001;33286;0.0000000000e+000
3.9843750000e+001;33285;0.0000000000e+000
4.0039062500e+001;33286;0.0000000000e+000
4.1000000000e+001;33025;0.0000000000e+000
4.1000000000e+001;32779;0.0000000000e+000
4.0136718750e+001;33285;0.0000000000e+000
4.1113281250e+001;33286;0.0000000000e+000
4.1210937500e+001;33285;0.0000000000e+000
4.2285156250e+001;33286;0.0000000000e+000
4.2480468750e+001;33285;0.0000000000e+000
4.3066406250e+001;33286;0.0000000000e+000
4.3652343750e+001;33285;0.0000000000e+000
4.5019531250e+001;33286;0.0000000000e+000
4.6093750000e+001;33285;0.0000000000e+000
4.6679687500e+001;33286;0.0000000000e+000
4.8046875000e+001;33285;0.0000000000e+000
4.9414062500e+001;33286;0.0000000000e+000
4.9707031250e+001;33285;0.0000000000e+000
5.2343750000e+001;33286;0.0000000000e+000
5.3320312500e+001;33285;0.0000000000e+000
5.4589843750e+001;33286;0.0000000000e+000
5.6152343750e+001;33285;0.0000000000e+000
5.7714843750e+001;33286;0.0000000000e+000
6.1816406250e+001;33285;0.0000000000e+000
6.2402343750e+001;33286;0.0000000000e+000
6.4257812500e+001;33285;0.0000000000e+000
6.6601562500e+001;33286;0.0000000000e+000
6.9531250000e+001;33285;0.0000000000e+000
7.1000000000e+001;32780;0.0000000000e+000
7.0312500000e+001;33286;0.0000000000e+000
7.0800781250e+001;33285;0.0000000000e+000
7.2558593750e+001;33286;0.0000000000e+000
7.6000000000e+001;32772;0.0000000000e+000
7.8515625000e+001;33285;0.0000000000e+000
