Time (s);Oscillator 1
1.6308593750e+001;2.2810469249e+001
1.6406250000e+001;2.2800093984e+001
1.6503906250e+001;2.2775808489e+001
1.6601562500e+001;2.2760337012e+001
1.6699218750e+001;2.2777046460e+001
1.6796875000e+001;2.2822923045e+001
1.6894531250e+001;2.2881460213e+001
1.6992187500e+001;2.2923235332e+001
1.7089843750e+001;2.2930948344e+001
1.7187500000e+001;2.2914562450e+001
1.7285156250e+001;2.2893457117e+001
1.7382812500e+001;2.2893641617e+001
1.7480468750e+001;2.2925439453e+001
1.7578125000e+001;2.2976581987e+001
1.7675781250e+001;2.3049565761e+001
1.7773437500e+001;2.3102349372e+001
1.7871093750e+001;2.3110050509e+001
1.7968750000e+001;2.3089424584e+001
1.8066406250e+001;2.3068279233e+001
1.8164062500e+001;2.3069538840e+001
1.8261718750e+001;2.3086524878e+001
1.8359375000e+001;2.3119137131e+001
1.8457031250e+001;2.3172475902e+001
1.8554687500e+001;2.3216581031e+001
1.8652343750e+001;2.3225278061e+001
1.8750000000e+001;2.3203646120e+001
1.8847656250e+001;2.3181446923e+001
1.8945312500e+001;2.3170316828e+001
1.9042968750e+001;2.3158521217e+001
1.9140625000e+001;2.3159863727e+001
1.9238281250e+001;2.3181909339e+001
1.9335937500e+001;2.3200493967e+001
1.9433593750e+001;2.3209303239e+001
1.9531250000e+001;2.3220521120e+001
1.9628906250e+001;2.3211080591e+001
1.9726562500e+001;2.3181568417e+001
1.9824218750e+001;2.3138892415e+001
1.9921875000e+001;2.3107238183e+001
2.0019531250e+001;2.3096581751e+001
2.0117187500e+001;2.3090869605e+001
2.0214843750e+001;2.3099798188e+001
2.0312500000e+001;2.3121334024e+001
2.0410156250e+001;2.3125711691e+001
2.0507812500e+001;2.3090974438e+001
2.0605468750e+001;2.3027631200e+001
2.0703125000e+001;2.2972609053e+001
2.0800781250e+001;2.2938840524e+001
2.0898437500e+001;2.2922370790e+001
2.0996093750e+001;2.2934576917e+001
2.1093750000e+001;2.2957574397e+001
2.1191406250e+001;2.2964688995e+001
2.1289062500e+001;2.2938475221e+001
2.1386718750e+001;2.2880799102e+001
2.1484375000e+001;2.2820574693e+001
2.1582031250e+001;2.2783814656e+001
2.1679687500e+001;2.2776888677e+001
2.1777343750e+001;2.2797511254e+001
2.1875000000e+001;2.2819563906e+001
2.1972656250e+001;2.2824672100e+001
2.2070312500e+001;2.2807424788e+001
2.2167968750e+001;2.2774287993e+001
2.2265625000e+001;2.2750095311e+001
2.2363281250e+001;2.2747113885e+001
2.2460937500e+001;2.2767919932e+001
2.2558593750e+001;2.2802437440e+001
2.2656250000e+001;2.2822105738e+001
2.2753906250e+001;2.2820869163e+001
2.2851562500e+001;2.2807476126e+001
2.2949218750e+001;2.2795906176e+001
2.3046875000e+001;2.2811657898e+001
2.3144531250e+001;2.2852947638e+001
2.3242187500e+001;2.2907345974e+001
2.3339843750e+001;2.2958656437e+001
2.3437500000e+001;2.2974992724e+001
2.3535156250e+001;2.2964393104e+001
2.3632812500e+001;2.2948674432e+001
2.3730468750e+001;2.2946515149e+001
2.3828125000e+001;2.2975499888e+001
2.3925781250e+001;2.3021339796e+001
2.4023437500e+001;2.3087082204e+001
2.4121093750e+001;2.3149336657e+001
2.4218750000e+001;2.3160455038e+001
2.4316406250e+001;2.3139831157e+001
2.4414062500e+001;2.3117609379e+001
2.4511718750e+001;2.3111110104e+001
2.4609375000e+001;2.3124069689e+001
2.4707031250e+001;2.3150097744e+001
2.4804687500e+001;2.3196855139e+001
2.4902343750e+001;2.3240432884e+001
2.5000000000e+001;2.3241538248e+001
2.5097656250e+001;2.3215509173e+001
2.5195312500e+001;2.3188412328e+001
2.5292968750e+001;2.3167468283e+001
2.5390625000e+001;2.3153132263e+001
2.5488281250e+001;2.3148683589e+001
2.5585937500e+001;2.3164652482e+001
2.5683593750e+001;2.3178990204e+001
2.5781250000e+001;2.3171806319e+001
2.5878906250e+001;2.3166420820e+001
2.5976562500e+001;2.3151271219e+001
2.6074218750e+001;2.3115556970e+001
2.6171875000e+001;2.3076201834e+001
2.6269531250e+001;2.3042632952e+001
2.6367187500e+001;2.3028541212e+001
2.6464843750e+001;2.3018172381e+001
2.6562500000e+001;2.3012432907e+001
2.6660156250e+001;2.3023101740e+001
2.6757812500e+001;2.3026469338e+001
2.6855468750e+001;2.3000135028e+001
2.6953125000e+001;2.2951852197e+001
2.7050781250e+001;2.2901729543e+001
2.7148437500e+001;2.2868919968e+001
2.7246093750e+001;2.2847589018e+001
2.7343750000e+001;2.2848581654e+001
2.7441406250e+001;2.2868481039e+001
2.7539062500e+001;2.2881123303e+001
2.7636718750e+001;2.2870661224e+001
2.7734375000e+001;2.2835946627e+001
2.7832031250e+001;2.2792141777e+001
2.7929687500e+001;2.2760984843e+001
2.8027343750e+001;2.2747534535e+001
2.8125000000e+001;2.2760505265e+001
2.8222656250e+001;2.2785068502e+001
2.8320312500e+001;2.2798874057e+001
2.8417968750e+001;2.2798727995e+001
2.8515625000e+001;2.2785713930e+001
2.8613281250e+001;2.2772728209e+001
2.8710937500e+001;2.2771579923e+001
2.8808593750e+001;2.2783329661e+001
2.8906250000e+001;2.2813327368e+001
2.9003906250e+001;2.2838493039e+001
2.9101562500e+001;2.2845411369e+001
2.9199218750e+001;2.2845921829e+001
2.9296875000e+001;2.2847251805e+001
2.9394531250e+001;2.2865556442e+001
2.9492187500e+001;2.2903218974e+001
2.9589843750e+001;2.2944883692e+001
2.9687500000e+001;2.2994178167e+001
2.9785156250e+001;2.3015853457e+001
2.9882812500e+001;2.3009367869e+001
2.9980468750e+001;2.3001363983e+001
3.0078125000e+001;2.3003090368e+001
3.0175781250e+001;2.3028437864e+001
3.0273437500e+001;2.3068684499e+001
3.0371093750e+001;2.3121364470e+001
3.0468750000e+001;2.3186483822e+001
3.0566406250e+001;2.3198493257e+001
3.0664062500e+001;2.3174968395e+001
3.0761718750e+001;2.3153372234e+001
3.0859375000e+001;2.3142902659e+001
3.0957031250e+001;2.3150912176e+001
3.1054687500e+001;2.3171451253e+001
3.1152343750e+001;2.3208454037e+001
3.1250000000e+001;2.3247847090e+001
3.1347656250e+001;2.3242167260e+001
3.1445312500e+001;2.3204734217e+001
3.1542968750e+001;2.3173664311e+001
3.1640625000e+001;2.3145387294e+001
3.1738281250e+001;2.3129140609e+001
3.1835937500e+001;2.3122997893e+001
3.1933593750e+001;2.3133183424e+001
3.2031250000e+001;2.3144014122e+001
3.2128906250e+001;2.3125735969e+001
3.2226562500e+001;2.3101309114e+001
3.2324218750e+001;2.3078777957e+001
3.2421875000e+001;2.3035842313e+001
3.2519531250e+001;2.3003368375e+001
3.2617187500e+001;2.2975733587e+001
3.2714843750e+001;2.2961523180e+001
3.2812500000e+001;2.2949663697e+001
3.2910156250e+001;2.2931101576e+001
3.3007812500e+001;2.2925720177e+001
3.3105468750e+001;2.2925185693e+001
3.3203125000e+001;2.2907610740e+001
3.3300781250e+001;2.2879250357e+001
3.3398437500e+001;2.2845285206e+001
3.3496093750e+001;2.2818582908e+001
3.3593750000e+001;2.2796118749e+001
3.3691406250e+001;2.2784034422e+001
3.3789062500e+001;2.2794213799e+001
3.3886718750e+001;2.2809999656e+001
3.3984375000e+001;2.2815398545e+001
3.4082031250e+001;2.2807389458e+001
3.4179687500e+001;2.2786979458e+001
3.4277343750e+001;2.2765875484e+001
3.4375000000e+001;2.2748173318e+001
3.4472656250e+001;2.2748110120e+001
3.4570312500e+001;2.2768337838e+001
3.4667968750e+001;2.2788599353e+001
3.4765625000e+001;2.2804974367e+001
3.4863281250e+001;2.2816695610e+001
3.4960937500e+001;2.2822292345e+001
3.5058593750e+001;2.2826483848e+001
3.5156250000e+001;2.2828671538e+001
3.5253906250e+001;2.2845755692e+001
3.5351562500e+001;2.2870175439e+001
3.5449218750e+001;2.2882689260e+001
3.5546875000e+001;2.2895239015e+001
3.5644531250e+001;2.2913218516e+001
3.5742187500e+001;2.2938629039e+001
3.5839843750e+001;2.2975430267e+001
3.5937500000e+001;2.3003469893e+001
3.6035156250e+001;2.3040182364e+001
3.6132812500e+001;2.3062330720e+001
3.6230468750e+001;2.3056957800e+001
3.6328125000e+001;2.3053619482e+001
3.6425781250e+001;2.3061702498e+001
3.6523437500e+001;2.3084244201e+001
3.6621093750e+001;2.3120028451e+001
3.6718750000e+001;2.3159740527e+001
3.6816406250e+001;2.3211585173e+001
3.6914062500e+001;2.3221670532e+001
3.7011718750e+001;2.3192230561e+001
3.7109375000e+001;2.3167543281e+001
3.7207031250e+001;2.3155203062e+001
3.7304687500e+001;2.3157664060e+001
3.7402343750e+001;2.3174749706e+001
3.7500000000e+001;2.3203246065e+001
3.7597656250e+001;2.3235728199e+001
3.7695312500e+001;2.3225366219e+001
3.7792968750e+001;2.3173642441e+001
3.7890625000e+001;2.3133890977e+001
3.7988281250e+001;2.3100918437e+001
3.8085937500e+001;2.3082260944e+001
3.8183593750e+001;2.3078940013e+001
3.8281250000e+001;2.3087155821e+001
3.8378906250e+001;2.3095857740e+001
3.8476562500e+001;2.3072562952e+001
3.8574218750e+001;2.3030169628e+001
3.8671875000e+001;2.2996470259e+001
3.8769531250e+001;2.2954889277e+001
3.8867187500e+001;2.2929944281e+001
3.8964843750e+001;2.2915010260e+001
3.9062500000e+001;2.2906347084e+001
3.9160156250e+001;2.2896423401e+001
3.9257812500e+001;2.2870726958e+001
3.9355468750e+001;2.2848688750e+001
3.9453125000e+001;2.2840494967e+001
3.9550781250e+001;2.2830117757e+001
3.9648437500e+001;2.2822046930e+001
3.9746093750e+001;2.2810615011e+001
3.9843750000e+001;2.2795709393e+001
3.9941406250e+001;2.2776286531e+001
4.0039062500e+001;2.2754343150e+001
4.0136718750e+001;2.2750971311e+001
4.0234375000e+001;2.2765954975e+001
4.0332031250e+001;2.2785195181e+001
4.0429687500e+001;2.2803929354e+001
4.0527343750e+001;2.2810186665e+001
4.0625000000e+001;2.2802843020e+001
4.0722656250e+001;2.2785088890e+001
4.0820312500e+001;2.2771983989e+001
4.0917968750e+001;2.2781852537e+001
4.1015625000e+001;2.2805026893e+001
4.1113281250e+001;2.2834100250e+001
4.1210937500e+001;2.2869809316e+001
4.1308593750e+001;2.2897202672e+001
4.1406250000e+001;2.2909868232e+001
4.1503906250e+001;2.2905295385e+001
4.1601562500e+001;2.2906077457e+001
4.1699218750e+001;2.2922896361e+001
4.1796875000e+001;2.2937638938e+001
4.1894531250e+001;2.2956800427e+001
4.1992187500e+001;2.2989173896e+001
4.2089843750e+001;2.3024097882e+001
4.2187500000e+001;2.3061826683e+001
4.2285156250e+001;2.3078352858e+001
4.2382812500e+001;2.3096924205e+001
4.2480468750e+001;2.3113600911e+001
4.2578125000e+001;2.3106657023e+001
4.2675781250e+001;2.3102384355e+001
4.2773437500e+001;2.3114582885e+001
4.2871093750e+001;2.3135609958e+001
4.2968750000e+001;2.3166922628e+001
4.3066406250e+001;2.3197227136e+001
4.3164062500e+001;2.3233092061e+001
4.3261718750e+001;2.3238311541e+001
4.3359375000e+001;2.3202611740e+001
4.3457031250e+001;2.3170373904e+001
4.3554687500e+001;2.3155253323e+001
4.3652343750e+001;2.3152195000e+001
4.3750000000e+001;2.3166502270e+001
4.3847656250e+001;2.3190849962e+001
4.3945312500e+001;2.3216283366e+001
4.4042968750e+001;2.3203601405e+001
4.4140625000e+001;2.3140728573e+001
4.4238281250e+001;2.3088896973e+001
4.4335937500e+001;2.3051312488e+001
4.4433593750e+001;2.3029020253e+001
4.4531250000e+001;2.3030441999e+001
4.4628906250e+001;2.3042037647e+001
4.4726562500e+001;2.3051073626e+001
4.4824218750e+001;2.3028558246e+001
4.4921875000e+001;2.2973904149e+001
4.5019531250e+001;2.2926681460e+001
4.5117187500e+001;2.2884109013e+001
4.5214843750e+001;2.2864202881e+001
4.5312500000e+001;2.2864012271e+001
4.5410156250e+001;2.2866133066e+001
4.5507812500e+001;2.2861426014e+001
4.5605468750e+001;2.2835693613e+001
4.5703125000e+001;2.2801158769e+001
4.5800781250e+001;2.2782962896e+001
4.5898437500e+001;2.2776682519e+001
4.5996093750e+001;2.2785280240e+001
4.6093750000e+001;2.2797055338e+001
4.6191406250e+001;2.2797761594e+001
4.6289062500e+001;2.2784884506e+001
4.6386718750e+001;2.2759617323e+001
4.6484375000e+001;2.2743600247e+001
4.6582031250e+001;2.2753838911e+001
4.6679687500e+001;2.2783346339e+001
4.6777343750e+001;2.2825497495e+001
4.6875000000e+001;2.2858123646e+001
4.6972656250e+001;2.2866596072e+001
4.7070312500e+001;2.2852705444e+001
4.7167968750e+001;2.2831162639e+001
4.7265625000e+001;2.2828260572e+001
4.7363281250e+001;2.2850205777e+001
4.7460937500e+001;2.2886140111e+001
4.7558593750e+001;2.2939557535e+001
4.7656250000e+001;2.2988311826e+001
4.7753906250e+001;2.3010961675e+001
4.7851562500e+001;2.3003675107e+001
4.7949218750e+001;2.2989656986e+001
